horizon_years,path,strategy,annual_return,annual_vol,sharpe,max_drawdown,terminal_equity,alpha_annual,beta
5,393,regime,0.01580467336862746,0.07452108260424352,0.21208324968332493,-0.14077788526206747,1.0822296100644,-0.019214279943210826,0.38291487283982584
5,393,benchmark,0.08461539459868637,0.16780684113826108,0.5042428188548596,-0.28063069788980555,1.526651802403147,7.833441408953653e-05,0.9992063492063492
5,394,layered,0.23666126912933522,0.10793090469673033,2.1927108810429963,-0.07966264947539692,3.265152096770718,0.15210662316952758,0.5562087531757831
5,394,regime,0.08597876665742356,0.07241043150416313,1.1873809459688187,-0.10003051786958128,1.5370943266333474,0.030099970478176346,0.35964234278093066
5,394,benchmark,0.14759514314039535,0.1736269495891922,0.850070472870778,-0.19949979513779492,2.091697036532238,0.00012913046791937716,0.9992063492063492
5,395,layered,0.18747343358538396,0.10556706489930547,1.7758704740366176,-0.07895719192340656,2.5532502820086447,0.14361342809459937,0.5285917568119406
5,395,regime,0.010688380270673276,0.07105697059845854,0.1504198698685466,-0.11167799522411881,1.054895701974557,-0.019424973883087455,0.34843616460847304
5,395,benchmark,0.0781139925381933,0.17629816124201117,0.4430788840217299,-0.23887641914960023,1.4778228577801367,7.43346152416377e-05,0.9992063492063493
5,396,layered,0.1663367387670395,0.10525494585263959,1.5803223061832785,-0.0965635532517991,2.297183239292973,0.1275487830371328,0.519309461092773
5,396,regime,0.036764272997131336,0.06851674348369488,0.5365735603864511,-0.1224137949268187,1.2018011201598036,0.010748858953928866,0.33184525689127303
5,396,benchmark,0.06934415242394475,0.17960559857950642,0.38609126314761294,-0.27010217603359465,1.4144217101012366,6.783685452120959e-05,0.9992063492063492
5,397,layered,0.23399114485221703,0.10757939237827963,2.1750554607097787,-0.07663847038900373,3.2218499855817035,0.15381845176277742,0.5610031680814096
5,397,regime,0.08108075264333324,0.07294708578824632,1.1115009155910305,-0.13271376966534465,1.4999079854850912,0.027549682284942107,0.36632809804466177
5,397,benchmark,0.13870619145993024,0.1714116393525961,0.80919937516384,-0.25401814835552594,2.0007677007828413,0.00012176677123375236,0.9992063492063493
5,398,layered,0.180341502024649,0.11020647205736106,1.6363966531002239,-0.09198133970285682,2.4638064960082304,0.14202060525684684,0.5591966362072787
5,398,regime,0.05314302700124453,0.07245187693672088,0.7334941377386177,-0.14281010967347074,1.30436343827589,0.027609146690899488,0.3541877080233849
5,398,benchmark,0.06398205724464137,0.1762465658393595,0.3630258379216196,-0.28292479374953894,1.3770042225448749,6.310623920832768e-05,0.9992063492063492
5,399,layered,0.14594269600722876,0.11002564527587524,1.3264425365676893,-0.09622200831567695,2.0744861408207886,0.11481253450745825,0.571203576188359
5,399,regime,0.0107445358406837,0.0725095379514545,0.148180999965511,-0.13871808197789737,1.0551919349076637,-0.010106105745247158,0.3602165252525388
5,399,benchmark,0.050069446027189164,0.17384205428236776,0.2880168796548071,-0.2992733641364712,1.2844713464233763,5.17265442192751e-05,0.9992063492063492
5,400,layered,0.17059316758434134,0.10278912247028786,1.6596422217112794,-0.09198114935447743,2.346596165457678,0.13253012650823773,0.5450697163493706
5,400,regime,0.026082480806956833,0.07400241530156093,0.3524544530157609,-0.13367516702008397,1.1392981376024536,-0.001303117802006818,0.3782440468746485
5,400,benchmark,0.06555791637911307,0.16780240059223375,0.3906852115806216,-0.24531806652410804,1.387896902926684,6.320695065815582e-05,0.9992063492063493
5,401,layered,0.19268024049373778,0.10567092256107395,1.8233988671990216,-0.08166922962211587,2.6205945053422206,0.10886233149207192,0.5421347807832138
5,401,regime,0.023936056278835303,0.07198179907786659,0.33252928636782725,-0.10547268637218521,1.1271364274781341,-0.03259480438048321,0.3581986823526143
5,401,benchmark,0.1499445317988046,0.173584361729527,0.8638135964830914,-0.17123354318282458,2.1164129671086274,0.0001309916432156834,0.9992063492063492
5,402,layered,0.21347188556285,0.10656231459309247,2.0032587165358695,-0.08222903684610139,2.907691384937013,0.09815725537209675,0.5670246164374992
5,402,regime,0.06401534578438886,0.07313325409214509,0.8753247285254391,-0.1083367211203109,1.377233433918598,-0.012138741595327785,0.3691657657662867
