date,regime,exposure,strategy_equity,benchmark_equity,drawdown
2025-07-23,low,1.0,1.0435635798768639,1.0527073588604963,0.0
2025-07-24,low,1.0,1.0442922206399032,1.0534423840261962,0.0
2025-07-25,low,1.0,1.048442580222095,1.0576291093569192,0.0
2025-07-28,low,1.0,1.0486280057940374,1.057816159641031,0.0
2025-07-29,low,1.0,1.0455246516236871,1.054685613658712,-0.002959442388724254
2025-07-30,low,1.0,1.0442183388865192,1.0533678549155865,-0.004205177511141467
2025-07-31,low,1.0,1.0403601407716145,1.0494758509918956,-0.007884459481093398
2025-08-01,low,1.0,1.0237225628866913,1.0326924934554624,-0.023750503295482117
2025-08-04,mid,0.75,1.0350168725814097,1.0479113863424994,-0.012979944401085408
2025-08-05,mid,0.75,1.0312435981161692,1.042820773251647,-0.016578240884101203
2025-08-06,mid,0.75,1.0368705522952932,1.0504144974478622,-0.011212225339949033
2025-08-07,mid,0.75,1.0362503277957547,1.049576812878177,-0.01180368818102484
2025-08-08,mid,0.75,1.04230628002787,1.057763213255511,-0.006028568502116749
2025-08-11,mid,0.75,1.0403481155268814,1.0551144389643357,-0.00789592707939002
2025-08-12,mid,0.75,1.0491880223055103,1.0670851721424404,0.0
2025-08-13,mid,0.75,1.05172871749555,1.070531941422705,0.0
2025-08-14,mid,0.75,1.051967785413736,1.07085640980664,0.0
2025-08-15,low,1.0,1.0489200926214592,1.0677539941176963,-0.00289713509722922
2025-08-18,low,1.0,1.0488144000965371,1.0676464038289528,-0.0029976063534669084
2025-08-19,low,1.0,1.0426703371883346,1.0613920211009529,-0.008838149185095734
2025-08-20,low,1.0,1.0401349077155728,1.0588110666837494,-0.011248327051677998
2025-08-21,low,1.0,1.0359700187301089,1.0545713949675064,-0.015207468237570798
2025-08-22,low,1.0,1.0517027203136677,1.070586585325929,-0.0002519707387844683
2025-08-25,mid,0.75,1.0483356954811118,1.066019050190344,-0.0034526626984072717
2025-08-26,mid,0.75,1.0515843797882933,1.070425967817489,-0.00036446517731703043
2025-08-27,low,1.0,1.0540987015390886,1.072985339509603,0.0
2025-08-28,low,1.0,1.0574261953803434,1.0763724531677092,0.0
2025-08-29,low,1.0,1.0506605877054498,1.0694856238438184,-0.006398184293571529
2025-09-02,low,1.0,1.0433876209987252,1.0620823449671226,-0.013276174207665359
2025-09-03,low,1.0,1.048708974688346,1.067499043125437,-0.008243810045638122
2025-09-04,low,1.0,1.057462009893312,1.0764089093812506,0.0
2025-09-05,mid,0.75,1.054950743634281,1.0730019105157582,-0.0023748051802677805
2025-09-08,low,1.0,1.0571724476577438,1.0752616299160815,-0.00027382755395399805
2025-09-09,low,1.0,1.060014289634885,1.0781520983945925,0.0
2025-09-10,low,1.0,1.0631768104077575,1.0813687327747417,0.0
2025-09-11,low,1.0,1.0721988122838986,1.0905451093100351,0.0
2025-09-12,low,1.0,1.0716811961756956,1.0900186363193607,-0.00048276131466740146
2025-09-15,low,1.0,1.0767251914987905,1.095148938990809,0.0
